    40.00    0.2810
    44.00    0.2760
    51.00    0.2790
    62.00    0.2750
    75.00    0.2740
    79.00    0.2660
    82.00    0.2660
    95.00    0.2660
   139.00    0.2590
   145.00    0.2520
   175.00    0.2470
   176.00    0.2460
   192.00    0.2430
   214.00    0.2410
   215.00    0.2400
   235.00    0.2360
   245.00    0.2370
   252.00    0.2330
   259.00    0.2400
   261.00    0.2380
   273.00    0.2410
   285.00    0.2270
   299.00    0.2240
   327.00    0.2200
   335.00    0.2090
   344.00    0.2170
   351.00    0.2100
   365.00    0.2070
   389.00    0.2200
   662.00    0.1600
  1000.00    0.1680
 15849.00    0.1040
