     2.80    0.4098
     8.00    0.4059
    10.70    0.4169
    28.00    0.4043
    36.00    0.4137
    42.00    0.3988
    45.00    0.4012
    70.00    0.4004
    70.00    0.3925
    80.00    0.4137
    98.00    0.3949
   120.00    0.3863
   145.00    0.3824
   150.00    0.3941
   160.00    0.3706
   170.00    0.3863
   195.00    0.3667
   200.00    0.3745
   200.00    0.3784
   220.00    0.3549
   220.00    0.3745
   220.00    0.3157
   250.00    0.3463
   270.00    0.3565
   270.00    0.3275
   274.00    0.3494
   340.00    0.3392
   340.00    0.3133
   340.00    0.3337
   500.00    0.2922
   500.00    0.3039
   500.00    0.3000
   700.00    0.2686
   700.00    0.2773
  1000.00    0.2647
  1000.00    0.2820
  1000.00    0.2686
  2000.00    0.2216
  2000.00    0.2294
  2000.00    0.2255
  4000.00    0.1902
  4000.00    0.1965
  5000.00    0.1667
  5000.00    0.1745
 10000.00    0.1722
 10000.00    0.1784
 15000.00    0.1588
 15000.00    0.1643
