    10.00    0.4750
    10.00    0.4650
    10.00    0.4540
    20.00    0.3790
    20.00    0.3720
    22.00    0.3810
    22.00    0.4200
    30.00    0.4500
    30.00    0.4410
    31.00    0.4120
    32.00    0.3950
    32.00    0.3700
    37.00    0.3860
    41.00    0.3930
    43.00    0.3810
    54.00    0.3720
    55.00    0.4150
    68.00    0.3900
    70.00    0.4035
    80.00    0.3820
    80.00    0.3680
    80.00    0.4390
    80.00    0.3960
    80.00    0.3320
    90.00    0.3770
    95.00    0.3030
   112.00    0.2980
   115.00    0.3310
   115.00    0.3820
   115.00    0.3750
   125.00    0.3100
   125.00    0.3770
   125.00    0.3680
   125.00    0.3580
   135.00    0.3420
   150.00    0.3900
   150.00    0.3410
   157.00    0.3000
   160.00    0.2860
   200.00    0.3000
   225.00    0.3950
   240.00    0.3450
   254.00    0.3640
   255.00    0.3330
   255.00    0.2930
   280.00    0.3030
   300.00    0.3130
   300.00    0.2890
   330.00    0.2880
   330.00    0.2480
   700.00    0.2660
   700.00    0.2740
   700.00    0.2820
   700.00    0.2970
   700.00    0.2260
   700.00    0.2340
   700.00    0.2500
  2000.00    0.1890
  2000.00    0.2000
  2000.00    0.2090
  2000.00    0.2280
  2000.00    0.1670
  2000.00    0.1750
  5000.00    0.1070
  5000.00    0.1140
 10000.00    0.1260
 10000.00    0.1160
 10000.00    0.1230
